customer_id,segment,customer_age_days,lifetime_successful_txns,lifetime_failed_txns,avg_transaction_value,risk_score,preferred_channel,contact_fatigue_score
43,b2c_returning,197,3,3,2006.44,0.2119,whatsapp,0.0
44,b2c_new,50,3,0,1004.79,0.1809,email,0.0
45,b2c_returning,55,2,1,748.71,0.1629,sms,0.0
46,b2c_returning,51,2,0,838.3,0.3221,whatsapp,0.0
47,b2c_new,280,4,0,1770.27,0.1126,sms,0.0
48,b2c_new,1153,24,8,3072.31,0.1562,email,0.0
49,b2c_returning,613,11,4,1121.46,0.3717,email,0.0
50,b2c_new,32,1,0,420.88,0.2325,email,0.0
51,b2c_new,646,12,4,16376.06,0.1779,whatsapp,0.0
52,b2c_new,418,9,2,3936.31,0.244,email,0.0
53,b2c_returning,44,1,0,3456.93,0.0692,none,0.0
54,b2c_returning,137,5,0,5625.45,0.1089,email,0.0
55,b2c_returning,482,16,2,1920.23,0.2239,email,0.0
56,b2c_returning,295,5,2,1637.69,0.0527,whatsapp,0.0
57,b2c_new,55,1,2,4649.88,0.4048,email,0.0
58,b2c_returning,311,2,0,4627.96,0.0407,whatsapp,0.0
59,b2c_new,26,1,0,2768.81,0.116,email,0.0
60,b2c_new,147,3,1,3338.55,0.1516,none,0.0
61,b2c_returning,501,9,2,756.27,0.1473,email,0.0
62,b2c_new,183,5,1,1503.14,0.1253,email,0.0
63,b2c_returning,114,4,1,5932.57,0.3827,whatsapp,0.0
64,b2c_returning,400,9,5,3160.81,0.3053,sms,0.0
65,b2c_returning,432,7,2,646.86,0.0228,none,0.0
66,b2c_returning,585,10,1,1241.12,0.3603,none,0.0
67,b2c_returning,395,9,5,5293.38,0.1939,whatsapp,0.0
68,b2c_new,476,8,3,2475.49,0.2068,email,0.0
69,b2c_new,348,6,2,2044.41,0.3916,whatsapp,0.0
70,b2c_new,228,6,3,2087.9,0.1254,email,0.0
71,b2c_new,195,3,1,1697.73,0.453,email,0.0
72,b2c_new,145,2,0,1247.09,0.3151,email,0.0
73,b2c_returning,60,1,0,1004.28,0.2791,sms,0.0
74,b2c_new,76,1,0,3651.05,0.3207,sms,0.0
75,b2c_new,139,5,2,2125.63,0.0347,whatsapp,0.0
76,b2c_new,223,1,0,2952.71,0.2339,sms,0.0
77,b2c_new,658,8,2,2639.18,0.1759,email,0.0
78,b2c_returning,173,5,2,4825.37,0.3113,email,0.0
79,b2c_returning,444,9,4,2474.5,0.308,whatsapp,0.0
80,b2c_returning,475,18,8,3203.72,0.1928,whatsapp,0.0
81,b2c_returning,146,4,0,2023.61,0.3407,email,0.0
82,b2c_new,307,4,3,927.35,0.0366,whatsapp,0.0
83,b2c_returning,144,1,0,1537.03,0.2041,whatsapp,0.0
84,b2c_new,591,16,3,2720.27,0.2531,email,0.0
85,b2c_new,319,7,1,2892.61,0.1459,whatsapp,0.0
86,b2c_new,61,2,1,4970.43,0.0054,none,0.0
87,b2c_returning,208,6,2,1304.53,0.4411,none,0.0
88,b2c_new,793,13,9,2108.52,0.0103,email,0.0
89,b2c_new,152,6,1,1644.4,0.1604,email,0.0
90,b2c_returning,269,5,2,5611.43,0.1236,whatsapp,0.0
91,b2c_new,294,9,2,2342.69,0.3187,sms,0.0
92,b2c_returning,70,4,1,2374.3,0.0495,email,0.0
93,b2c_new,285,2,1,1755.62,0.3267,sms,0.0
94,b2c_new,51,1,0,1537.62,0.1358,sms,0.0
95,b2c_new,102,1,0,652.93,0.1192,email,0.0
96,b2c_returning,473,8,2,744.49,0.3251,email,0.0
97,b2c_new,248,4,0,2040.06,0.2675,whatsapp,0.0
98,b2c_new,136,1,0,1869.54,0.1327,sms,0.0
99,b2c_new,269,7,3,2048.04,0.0674,email,0.0
100,b2b,170,5,5,24704.6,0.1974,none,0.0
101,b2b,182,1,0,22485.53,0.2039,whatsapp,0.0
102,b2c_returning,325,11,7,1410.53,0.1326,sms,0.0
103,b2c_new,93,0,0,1553.96,0.2237,email,0.0
104,b2b,186,3,0,21301.59,0.347,whatsapp,0.0
105,b2c_returning,135,5,1,1379.59,0.1742,whatsapp,0.0
106,b2c_returning,43,0,0,3791.88,0.0512,whatsapp,0.0
107,b2c_new,78,0,0,1785.85,0.134,email,0.0
108,b2c_new,738,4,2,2146.74,0.2276,whatsapp,0.0
109,b2c_new,254,6,3,1016.32,0.0475,email,0.0
110,b2b,54,0,0,37252.59,0.0739,none,0.0
111,b2c_new,44,2,0,4928.64,0.3055,email,0.0
112,b2c_new,162,7,3,693.21,0.2724,sms,0.0
113,b2c_new,733,15,2,2383.12,0.4388,whatsapp,0.0
114,b2c_returning,152,7,2,1669.04,0.0959,whatsapp,0.0
115,b2c_new,583,11,5,2195.94,0.2164,whatsapp,0.0
116,b2c_returning,247,10,3,2470.08,0.1582,sms,0.0
117,b2c_returning,275,4,0,376.56,0.3943,none,0.0
118,b2c_returning,54,2,0,3063.1,0.4209,whatsapp,0.0
119,b2c_new,418,6,1,3921.46,0.1469,sms,0.0
120,b2c_returning,133,4,1,4242.49,0.0171,whatsapp,0.0
121,b2c_returning,391,9,2,929.18,0.1018,sms,0.0
122,b2c_returning,86,1,1,1761.39,0.3365,whatsapp,0.0
123,b2c_new,211,1,0,1234.35,0.1693,email,0.0
124,b2c_new,247,9,4,471.01,0.2024,email,0.0
125,b2c_new,156,6,0,1165.8,0.2341,sms,0.0
126,b2c_new,259,12,5,842.75,0.2266,email,0.0
127,b2c_new,141,4,0,2274.94,0.4006,email,0.0
128,b2c_new,100,0,0,574.52,0.2422,sms,0.0
129,b2c_new,763,16,6,906.74,0.1876,whatsapp,0.0
130,b2c_returning,462,7,2,1251.27,0.1913,email,0.0
131,b2c_new,90,3,0,3086.07,0.0361,whatsapp,0.0
132,b2b,300,7,2,44804.96,0.1347,email,0.0
133,b2c_returning,92,2,1,2225.43,0.1866,email,0.0
134,b2c_new,61,2,0,873.99,0.135,email,0.0
135,b2c_returning,456,7,1,1118.98,0.0152,whatsapp,0.0
136,b2c_new,38,0,0,2853.16,0.3763,sms,0.0
137,b2b,414,10,3,21565.91,0.1582,none,0.0
138,b2c_new,143,2,1,3878.66,0.0964,whatsapp,0.0
139,b2c_returning,148,3,3,2179.67,0.1137,none,0.0
140,b2c_new,260,6,2,1649.11,0.0928,email,0.0
141,b2c_new,303,13,3,553.42,0.3229,whatsapp,0.0
142,b2c_new,85,1,0,3428.28,0.0789,whatsapp,0.0
143,b2b,343,5,1,42399.0,0.2186,sms,0.0
144,b2c_returning,199,2,0,2004.45,0.4158,whatsapp,0.0
145,b2c_new,58,1,0,1612.48,0.1021,sms,0.0
146,b2c_new,154,3,1,594.0,0.2297,email,0.0
147,b2c_new,623,16,11,1531.59,0.4744,whatsapp,0.0
148,b2c_returning,813,14,2,771.51,0.2429,email,0.0
149,b2c_new,343,10,4,1140.39,0.3859,email,0.0
150,b2c_new,61,0,0,2436.91,0.1605,whatsapp,0.0
151,b2c_returning,279,8,2,2943.23,0.24,email,0.0
152,b2c_returning,387,10,3,1777.16,0.2633,whatsapp,0.0
153,b2c_new,345,9,1,969.5,0.1243,sms,0.0
154,b2c_returning,364,9,4,1144.08,0.2885,whatsapp,0.0
155,b2c_new,249,6,0,1130.26,0.3238,sms,0.0
156,b2c_returning,168,5,1,403.27,0.0398,sms,0.0
157,b2c_new,104,1,0,1894.72,0.337,sms,0.0
158,b2c_returning,32,0,0,560.76,0.1025,whatsapp,0.0
159,b2c_returning,244,7,2,1898.61,0.4938,email,0.0
160,b2c_returning,212,4,1,648.03,0.4633,email,0.0
161,b2c_new,297,4,1,773.68,0.052,email,0.0
162,b2b,54,2,1,33453.14,0.0349,sms,0.0
163,b2c_new,321,4,1,1831.23,0.0573,none,0.0
164,b2c_new,1143,22,9,481.14,0.1867,whatsapp,0.0
165,b2c_returning,193,6,1,1217.29,0.0672,sms,0.0
166,b2c_new,170,1,0,2162.25,0.1217,email,0.0
167,b2c_returning,237,3,0,1166.82,0.2253,whatsapp,0.0
168,b2c_returning,1121,20,4,1415.64,0.1176,whatsapp,0.0
169,b2c_new,71,3,0,2135.36,0.0865,sms,0.0
170,b2b,216,4,0,24965.46,0.3005,none,0.0
171,b2c_new,87,2,0,898.71,0.1469,sms,0.0
172,b2c_returning,110,4,0,1828.32,0.2453,email,0.0
173,b2c_new,172,5,1,1472.03,0.1619,whatsapp,0.0
174,b2b,605,12,4,75313.19,0.2599,whatsapp,0.0
175,b2c_new,910,27,8,1674.69,0.0323,sms,0.0
176,b2c_new,269,8,2,1978.36,0.4496,none,0.0
177,b2c_new,128,1,0,2158.98,0.1204,whatsapp,0.0
178,b2b,1696,41,14,71879.63,0.1708,none,0.0
179,b2c_returning,122,1,0,1087.46,0.1899,whatsapp,0.0
180,b2c_returning,107,2,1,2483.39,0.0372,whatsapp,0.0
181,b2c_returning,36,0,0,2497.65,0.2918,sms,0.0
182,b2c_returning,632,11,4,7733.72,0.2135,sms,0.0
183,b2c_returning,430,14,8,3026.71,0.2939,email,0.0
184,b2c_new,1586,42,10,3062.65,0.4167,whatsapp,0.0
185,b2c_returning,51,1,2,2974.87,0.015,email,0.0
186,b2c_returning,668,10,1,1110.22,0.149,whatsapp,0.0
187,b2c_new,191,6,1,746.18,0.2462,email,0.0
188,b2c_new,371,4,1,891.61,0.0463,email,0.0
189,b2c_returning,40,5,3,2913.54,0.0029,email,0.0
190,b2c_new,674,14,4,4869.18,0.36,sms,0.0
191,b2b,365,12,4,11372.12,0.5035,email,0.0
192,b2c_new,173,3,0,1601.49,0.0718,email,0.0
193,b2c_new,321,9,2,5820.92,0.2216,whatsapp,0.0
194,b2c_returning,90,4,1,1319.47,0.3075,sms,0.0
195,b2c_new,106,0,0,805.8,0.2226,email,0.0
196,b2c_new,118,3,0,2148.74,0.1108,email,0.0
197,b2c_returning,33,1,0,4446.37,0.3852,email,0.0
198,b2c_returning,390,12,8,997.13,0.1705,none,0.0
199,b2c_new,526,11,1,545.76,0.0639,whatsapp,0.0
200,b2c_new,95,0,0,1848.14,0.1093,sms,0.0
201,b2c_returning,246,7,1,3088.83,0.3444,email,0.0
202,b2b,141,8,3,44370.04,0.3513,email,0.0
203,b2c_returning,241,9,3,3567.78,0.2246,whatsapp,0.0
204,b2c_new,102,1,1,691.45,0.1422,email,0.0
205,b2c_new,81,0,0,2989.68,0.0358,whatsapp,0.0
206,b2c_new,463,11,7,444.9,0.0827,email,0.0
207,b2c_new,169,3,0,641.07,0.279,whatsapp,0.0
208,b2c_returning,1110,26,12,2775.66,0.3877,sms,0.0
209,b2c_new,187,4,1,4215.74,0.0528,email,0.0
210,b2c_returning,78,1,0,1788.52,0.3002,email,0.0
211,b2c_returning,543,10,4,9626.58,0.058,whatsapp,0.0
212,b2c_returning,317,4,1,879.83,0.2584,whatsapp,0.0
213,b2c_new,346,8,2,872.0,0.3311,whatsapp,0.0
214,b2c_returning,525,9,1,1456.79,0.2537,email,0.0
215,b2c_returning,100,2,0,1409.06,0.2562,whatsapp,0.0
216,b2c_returning,160,3,1,2195.09,0.1612,email,0.0
217,b2c_new,154,5,0,1070.14,0.1041,whatsapp,0.0
218,b2c_new,56,2,3,2677.93,0.0202,whatsapp,0.0
219,b2b,141,5,0,85761.57,0.2836,email,0.0
220,b2c_new,599,10,2,5568.65,0.1679,whatsapp,0.0
221,b2c_new,222,3,0,1276.95,0.3148,none,0.0
222,b2c_new,53,0,0,2278.84,0.4206,none,0.0
223,b2c_returning,44,0,0,2750.76,0.5214,email,0.0
224,b2b,805,15,3,48517.98,0.1042,whatsapp,0.0
225,b2c_new,165,3,1,1552.12,0.408,email,0.0
226,b2b,100,1,0,163396.33,0.2143,sms,0.0
227,b2c_new,140,7,1,1908.2,0.1271,sms,0.0
228,b2c_returning,47,0,0,2730.91,0.4092,email,0.0
229,b2c_returning,647,12,1,1728.61,0.1048,email,0.0
230,b2c_new,126,2,0,1041.01,0.2221,none,0.0
231,b2c_new,616,12,5,555.62,0.066,email,0.0
232,b2c_new,188,7,3,2471.75,0.1337,sms,0.0
233,b2b,651,16,4,42043.87,0.2208,whatsapp,0.0
234,b2c_returning,226,5,2,4762.4,0.0816,email,0.0
235,b2b,387,13,8,54622.89,0.1568,none,0.0
236,b2c_returning,343,5,0,1295.08,0.1644,none,0.0
237,b2c_new,315,10,4,713.82,0.1348,email,0.0
238,b2c_returning,246,5,0,3689.57,0.0467,sms,0.0
239,b2c_new,145,4,1,4284.96,0.0442,email,0.0
240,b2c_new,1009,25,10,6914.32,0.1269,none,0.0
241,b2c_returning,79,2,2,2592.92,0.1472,email,0.0
242,b2c_returning,180,4,1,3127.63,0.1634,sms,0.0
243,b2c_new,182,4,0,2442.56,0.1888,whatsapp,0.0
244,b2c_returning,258,6,2,2688.44,0.047,whatsapp,0.0
245,b2c_returning,122,1,0,1862.91,0.4305,whatsapp,0.0
246,b2c_returning,238,5,3,2775.88,0.1862,email,0.0
247,b2c_returning,154,4,0,8050.88,0.4662,whatsapp,0.0
248,b2c_new,43,0,0,2097.74,0.1409,whatsapp,0.0
249,b2c_new,181,8,4,1830.5,0.0885,sms,0.0
250,b2c_new,66,0,0,2067.7,0.3764,whatsapp,0.0
251,b2c_returning,37,2,0,1621.61,0.3956,email,0.0
252,b2c_returning,203,6,0,2138.88,0.1106,email,0.0
253,b2c_new,279,4,2,1583.58,0.1834,email,0.0
254,b2c_new,289,6,2,4009.13,0.0133,email,0.0
255,b2c_new,299,4,0,3738.29,0.0973,email,0.0
256,b2c_returning,31,0,0,8198.42,0.2041,email,0.0
257,b2c_returning,52,1,1,1770.58,0.4983,sms,0.0
258,b2c_new,1063,19,4,2203.03,0.0702,whatsapp,0.0
259,b2c_new,70,1,1,2139.7,0.0434,sms,0.0
260,b2c_returning,311,7,3,2069.9,0.1477,whatsapp,0.0
261,b2c_new,97,1,1,3970.06,0.246,sms,0.0
262,b2c_returning,193,4,2,577.12,0.0797,sms,0.0
263,b2c_new,101,1,0,2485.03,0.0198,email,0.0
264,b2c_new,298,9,2,7277.77,0.2904,whatsapp,0.0
265,b2b,203,4,2,21012.63,0.2342,whatsapp,0.0
266,b2c_new,120,2,1,4313.65,0.2171,email,0.0
267,b2c_new,69,2,0,3245.37,0.2332,email,0.0
268,b2c_new,229,4,0,1186.18,0.1922,email,0.0
269,b2c_new,60,0,0,1064.92,0.1538,sms,0.0
270,b2c_new,264,9,1,1070.76,0.1014,email,0.0
271,b2c_new,1913,40,15,811.29,0.1657,whatsapp,0.0
272,b2c_new,606,12,4,3491.78,0.2,email,0.0
273,b2c_new,343,10,3,5031.11,0.0273,none,0.0
274,b2c_returning,166,2,0,2439.73,0.0596,email,0.0
275,b2c_returning,31,0,0,3161.78,0.3549,sms,0.0
276,b2c_new,54,2,0,2210.49,0.2005,none,0.0
277,b2c_new,571,12,6,2680.27,0.0835,email,0.0
278,b2c_returning,88,2,1,408.96,0.4482,whatsapp,0.0
279,b2c_returning,95,1,0,2243.55,0.0336,email,0.0
280,b2c_returning,155,6,0,1336.31,0.5925,sms,0.0
281,b2c_new,69,4,1,1750.1,0.0112,whatsapp,0.0
282,b2c_new,59,4,2,2108.17,0.1066,email,0.0
283,b2c_new,172,2,2,1090.75,0.1073,email,0.0
284,b2c_new,80,4,0,847.77,0.1571,email,0.0
285,b2c_returning,92,4,0,1067.82,0.1345,email,0.0
286,b2c_new,89,2,2,653.09,0.0284,sms,0.0
287,b2c_new,288,3,0,801.83,0.2744,whatsapp,0.0
288,b2c_new,146,7,2,882.73,0.2802,email,0.0
289,b2c_returning,153,3,0,659.17,0.2436,whatsapp,0.0
290,b2c_new,308,4,1,2606.29,0.1094,whatsapp,0.0
291,b2c_returning,158,3,1,958.33,0.1346,whatsapp,0.0
292,b2c_new,140,2,1,488.49,0.2666,none,0.0
293,b2b,274,13,3,47880.28,0.1807,whatsapp,0.0
294,b2c_new,328,5,1,825.75,0.2315,email,0.0
295,b2c_returning,157,4,1,4998.53,0.0478,email,0.0
296,b2b,193,6,1,27688.7,0.1298,whatsapp,0.0
297,b2b,89,2,0,160613.91,0.2968,email,0.0
298,b2c_returning,82,4,2,2680.15,0.2286,email,0.0
299,b2c_returning,359,4,2,1910.32,0.4317,whatsapp,0.0
300,b2c_returning,268,6,1,1523.12,0.0662,sms,0.0
301,b2c_returning,271,9,0,5419.59,0.3171,sms,0.0
302,b2c_new,231,5,0,909.3,0.3685,sms,0.0
303,b2c_returning,187,5,0,3715.04,0.2923,email,0.0
304,b2c_returning,336,6,0,1351.37,0.1974,email,0.0
305,b2c_returning,417,4,1,1777.02,0.2442,none,0.0
306,b2c_new,408,16,3,1064.93,0.2106,email,0.0
307,b2c_new,164,4,3,1113.53,0.2047,sms,0.0
308,b2c_returning,627,13,2,1326.52,0.2819,email,0.0
309,b2c_new,221,10,1,475.8,0.2374,email,0.0
310,b2c_new,318,6,1,2294.33,0.2246,email,0.0
311,b2c_new,232,6,2,1950.75,0.0314,email,0.0
312,b2c_new,224,3,1,630.9,0.0994,whatsapp,0.0
313,b2c_new,92,4,0,2856.95,0.1761,email,0.0
314,b2c_new,338,6,1,4991.47,0.0939,sms,0.0
315,b2c_new,2330,45,14,1130.46,0.3566,whatsapp,0.0
316,b2c_new,128,1,0,1039.2,0.2045,sms,0.0
317,b2c_new,191,3,0,3924.25,0.1516,email,0.0
318,b2c_returning,120,3,1,2387.06,0.4238,email,0.0
319,b2c_new,116,4,0,1636.63,0.1436,email,0.0
320,b2b,722,14,3,20745.99,0.1177,email,0.0
321,b2b,98,2,0,34132.96,0.2247,sms,0.0
322,b2c_new,117,3,1,4892.66,0.1019,sms,0.0
323,b2c_new,43,1,0,1779.01,0.0804,email,0.0
324,b2c_returning,91,1,0,2426.18,0.0151,email,0.0
325,b2c_returning,38,0,0,3882.31,0.2173,whatsapp,0.0
326,b2c_returning,317,4,2,324.43,0.2209,email,0.0
327,b2c_returning,2236,36,9,3981.9,0.1994,sms,0.0
328,b2c_returning,129,3,2,1263.91,0.1696,none,0.0
329,b2c_returning,40,1,0,2554.23,0.0297,whatsapp,0.0
330,b2c_new,404,9,1,5770.02,0.2821,email,0.0
331,b2c_returning,93,3,0,1453.04,0.1037,sms,0.0
332,b2c_new,579,15,2,1308.56,0.0908,none,0.0
333,b2c_returning,139,3,1,1732.33,0.0646,whatsapp,0.0
334,b2c_returning,101,2,0,651.28,0.429,whatsapp,0.0
335,b2c_new,153,5,2,8391.11,0.1064,whatsapp,0.0
336,b2c_returning,356,7,4,1747.22,0.3761,whatsapp,0.0
337,b2c_new,146,0,0,5695.63,0.0291,email,0.0
338,b2c_returning,115,3,0,1425.53,0.368,whatsapp,0.0
339,b2c_new,150,0,0,1843.36,0.5304,sms,0.0
340,b2b,57,2,0,38205.27,0.1952,sms,0.0
341,b2c_new,257,3,0,832.13,0.151,email,0.0
342,b2b,36,1,0,33900.93,0.3861,whatsapp,0.0
343,b2c_returning,120,2,0,3395.83,0.0852,email,0.0
344,b2c_returning,356,2,0,1550.63,0.0832,whatsapp,0.0
345,b2c_returning,236,5,1,1283.56,0.0427,none,0.0
346,b2c_returning,306,2,0,3929.24,0.183,email,0.0
347,b2b,169,1,0,39312.17,0.1603,email,0.0
348,b2c_new,515,15,3,5364.91,0.2444,sms,0.0
349,b2c_returning,413,11,6,1122.2,0.2626,sms,0.0
350,b2c_new,268,6,1,1199.93,0.1209,email,0.0
351,b2c_returning,414,14,8,1293.93,0.3445,whatsapp,0.0
352,b2c_new,353,5,2,2976.51,0.2369,whatsapp,0.0
353,b2c_returning,121,3,0,778.82,0.1616,email,0.0
354,b2c_returning,53,3,1,810.22,0.1378,sms,0.0
355,b2c_new,262,6,2,1091.72,0.2554,sms,0.0
356,b2c_returning,294,8,2,933.36,0.071,sms,0.0
357,b2c_returning,480,12,3,3342.9,0.454,none,0.0
358,b2c_returning,77,4,3,3188.87,0.2678,sms,0.0
359,b2c_new,79,3,0,1284.81,0.5431,email,0.0
360,b2c_returning,272,4,0,1571.58,0.384,sms,0.0
361,b2b,168,2,0,74191.73,0.0716,whatsapp,0.0
362,b2c_new,32,1,0,1306.81,0.2495,sms,0.0
363,b2c_new,252,16,11,4299.74,0.0529,email,0.0
364,b2c_new,33,4,1,1257.99,0.184,email,0.0
365,b2c_returning,76,1,0,837.8,0.129,whatsapp,0.0
366,b2c_new,607,14,2,4716.86,0.0854,email,0.0
367,b2c_returning,930,22,13,825.02,0.1624,email,0.0
368,b2c_returning,60,0,0,5312.32,0.1368,none,0.0
369,b2c_new,133,4,1,13589.88,0.0993,whatsapp,0.0
370,b2c_returning,187,2,1,1667.33,0.5522,email,0.0
371,b2c_returning,894,24,5,4299.21,0.2089,email,0.0
372,b2c_new,115,5,0,559.64,0.2872,sms,0.0
373,b2c_new,117,2,1,542.66,0.0315,whatsapp,0.0
374,b2c_new,725,12,1,1030.53,0.0848,email,0.0
375,b2c_new,128,2,0,3201.06,0.2767,whatsapp,0.0
376,b2c_new,344,6,3,1802.2,0.2096,email,0.0
377,b2b,47,1,0,86256.51,0.1929,email,0.0
378,b2c_new,154,3,1,729.21,0.0699,whatsapp,0.0
379,b2c_new,40,1,0,1646.48,0.0809,whatsapp,0.0
380,b2c_returning,69,2,0,1147.12,0.1295,whatsapp,0.0
381,b2c_returning,383,7,4,943.69,0.3893,email,0.0
382,b2b,172,3,1,12229.01,0.1657,sms,0.0
383,b2c_returning,135,4,1,2058.84,0.1613,email,0.0
384,b2c_new,91,0,0,1087.15,0.3274,email,0.0
385,b2c_new,147,2,0,1791.81,0.0713,sms,0.0
386,b2b,236,6,3,16576.48,0.1005,sms,0.0
387,b2c_returning,435,11,2,2559.94,0.0881,whatsapp,0.0
388,b2b,16,1,1,25072.3,0.2746,none,0.0
389,b2c_new,85,2,1,1530.86,0.3085,whatsapp,0.0
390,b2c_returning,207,6,4,2015.46,0.1238,whatsapp,0.0
391,b2c_returning,164,2,1,3461.51,0.1788,email,0.0
392,b2c_new,258,4,3,652.87,0.4873,whatsapp,0.0
393,b2c_returning,229,4,1,1886.03,0.2297,email,0.0
394,b2c_returning,136,3,0,721.94,0.2746,sms,0.0
395,b2c_new,112,2,1,1913.84,0.1429,email,0.0
396,b2c_new,144,4,2,1501.69,0.0522,sms,0.0
397,b2c_returning,506,10,1,1768.88,0.1901,whatsapp,0.0
398,b2c_new,93,1,0,3259.83,0.1782,email,0.0
399,b2c_new,170,4,1,3192.31,0.2173,whatsapp,0.0
400,b2c_new,212,5,2,3851.58,0.3881,none,0.0
401,b2c_new,733,21,9,1363.86,0.351,whatsapp,0.0
402,b2b,137,1,1,29615.89,0.1094,email,0.0
403,b2c_returning,426,8,2,2566.22,0.0171,whatsapp,0.0
404,b2c_new,545,16,5,1388.11,0.0721,email,0.0
405,b2b,169,3,0,22092.54,0.0534,email,0.0
406,b2c_returning,148,3,1,1640.92,0.1193,email,0.0
407,b2c_new,133,6,1,4778.88,0.0968,sms,0.0
408,b2c_returning,142,3,0,3173.83,0.3922,email,0.0
409,b2c_new,388,5,2,1422.88,0.2709,email,0.0
410,b2b,221,10,3,28347.55,0.1905,sms,0.0
411,b2c_returning,222,7,1,3518.79,0.3623,whatsapp,0.0
412,b2c_returning,65,0,1,4598.66,0.2264,whatsapp,0.0
413,b2c_new,75,2,0,2244.9,0.0351,whatsapp,0.0
414,b2c_returning,1238,35,8,2854.19,0.2075,email,0.0
415,b2c_new,153,4,2,4481.59,0.3055,whatsapp,0.0
416,b2c_new,89,0,1,1592.71,0.1297,whatsapp,0.0
417,b2c_new,652,10,1,1908.31,0.2485,email,0.0
418,b2c_returning,231,3,2,2530.7,0.3753,sms,0.0
419,b2c_new,302,11,3,1333.07,0.1997,email,0.0
420,b2b,158,6,2,71959.23,0.3897,sms,0.0
421,b2c_returning,135,4,0,1324.7,0.4348,whatsapp,0.0
422,b2c_new,154,4,2,1878.9,0.278,sms,0.0
423,b2c_new,51,2,0,6884.34,0.0294,email,0.0
424,b2c_new,166,3,1,488.97,0.1109,whatsapp,0.0
425,b2c_returning,234,1,0,2093.75,0.2995,whatsapp,0.0
426,b2c_returning,951,14,6,1133.59,0.119,whatsapp,0.0
427,b2c_new,194,5,0,1800.21,0.0407,sms,0.0
428,b2c_returning,22,0,0,773.89,0.0509,whatsapp,0.0
429,b2c_new,165,3,1,1388.43,0.2679,email,0.0
430,b2c_returning,2118,36,14,1831.49,0.3132,whatsapp,0.0
431,b2b,392,13,3,109470.44,0.0406,none,0.0
432,b2c_returning,86,1,0,3369.41,0.1148,whatsapp,0.0
433,b2c_returning,306,12,6,353.84,0.1269,email,0.0
434,b2c_returning,92,3,0,1648.19,0.2075,none,0.0
435,b2c_new,53,2,0,1592.81,0.0553,email,0.0
436,b2c_new,131,1,0,1720.8,0.3721,sms,0.0
437,b2c_new,195,4,2,1841.13,0.1221,whatsapp,0.0
438,b2c_returning,33,1,0,1006.73,0.2074,email,0.0
439,b2c_returning,63,1,0,609.5,0.3135,email,0.0
440,b2c_returning,181,2,0,2095.43,0.2181,sms,0.0
