classification,token,line_num,line
unsourced,"247,410",20,"- Just **3 close-only recoveries** (Txn 1998, Txn 7703, Txn 196) account for **₹329,675.72 (133.2%)** of the -₹247,410 gap."
unsourced,"444,147.70",24,"- The cross-split gap swing of **₹444,147.70** is well within the test bootstrap 95% CI width (₹1,108,876.31)."
unsourced,0.0001,65,"- **`close` vs `wait`:** `wait > close` in **1,348 txns (93.9%)**, `close > wait` in **87 txns (6.1%)** (Ties: 0). Min diff = 0.0001, Median diff = 0.0347, Max diff = 0.0841."
unsourced,0.0347,65,"- **`close` vs `wait`:** `wait > close` in **1,348 txns (93.9%)**, `close > wait` in **87 txns (6.1%)** (Ties: 0). Min diff = 0.0001, Median diff = 0.0347, Max diff = 0.0841."
unsourced,0.0841,65,"- **`close` vs `wait`:** `wait > close` in **1,348 txns (93.9%)**, `close > wait` in **87 txns (6.1%)** (Ties: 0). Min diff = 0.0001, Median diff = 0.0347, Max diff = 0.0841."
unsourced,2.17,109,"| **Validation** | OP-V | **Policy A** | 1,435 | 326 | 22.72% [±2.17%] | ₹1,238,245.73 | ₹2,680.00 | ₹38,468.39 | **₹1,235,565.73** | **₹861.02** |"
unsourced,"1,238,245.73",109,"| **Validation** | OP-V | **Policy A** | 1,435 | 326 | 22.72% [±2.17%] | ₹1,238,245.73 | ₹2,680.00 | ₹38,468.39 | **₹1,235,565.73** | **₹861.02** |"
unsourced,2.04,110,"| **Validation** | OP-V | **B0 Waterfall** | 1,435 | 272 | 18.95% [±2.04%] | ₹992,650.95 | ₹3,216.00 | ₹0.00 | **₹989,434.95** | **₹689.50** |"
unsourced,2.07,111,"| **Test** | OP-F | **Policy A** | 1,577 | 361 | 22.89% [±2.07%] | ₹1,302,749.45 | ₹2,797.00 | ₹40,673.29 | **₹1,299,952.45** | **₹824.32** |"
unsourced,1.97,112,"| **Test** | OP-F | **B0 Waterfall** | 1,577 | 312 | 19.78% [±1.97%] | ₹1,501,443.37 | ₹3,474.00 | ₹0.00 | **₹1,497,969.37** | **₹949.89** |"
unsourced,1.85,113,"| **Test** | OP-F | **B1 Random** | 1,577 | 266 | 16.87% [±1.85%] | ₹1,363,512.35 | ₹2,427.00 | ₹11,300.31 | **₹1,361,085.35** | **₹863.09** |"
unsourced,2.46,114,"| **Test** | OP-F | **B6 Oracle** | 1,577 | 818 | 51.87% [±2.46%] | ₹3,360,246.12 | ₹1,235.00 | ₹37,399.62 | **₹3,359,011.12** | **₹2,129.37** |"
unsourced,"2,129.37",114,"| **Test** | OP-F | **B6 Oracle** | 1,577 | 818 | 51.87% [±2.46%] | ₹3,360,246.12 | ₹1,235.00 | ₹37,399.62 | **₹3,359,011.12** | **₹2,129.37** |"
unsourced,691,133,"| **0.00** | Marginal Means Only | **₹1,078,896.67** | ₹1,058,557.21 | +₹20,339.46 | 288 | 20.07% | `{'payment_link': 691, 'retry': 567, 'wait': 174, 'discount': 3}` |"
unsourced,75,134,"| **0.25** | Shrunk 75% | **₹1,090,067.85** | ₹1,139,204.48 | -₹49,136.63 | 290 | 20.21% | `{'payment_link': 573, 'retry': 567, 'wait': 174, 'discount': 121}` |"
unsourced,573,134,"| **0.25** | Shrunk 75% | **₹1,090,067.85** | ₹1,139,204.48 | -₹49,136.63 | 290 | 20.21% | `{'payment_link': 573, 'retry': 567, 'wait': 174, 'discount': 121}` |"
unsourced,121,134,"| **0.25** | Shrunk 75% | **₹1,090,067.85** | ₹1,139,204.48 | -₹49,136.63 | 290 | 20.21% | `{'payment_link': 573, 'retry': 567, 'wait': 174, 'discount': 121}` |"
unsourced,50,135,"| **0.50** | Shrunk 50% | **₹1,103,310.75** | ₹1,182,206.78 | -₹78,896.03 | 294 | 20.49% | `{'retry': 567, 'payment_link': 429, 'discount': 265, 'wait': 174}` |"
unsourced,429,135,"| **0.50** | Shrunk 50% | **₹1,103,310.75** | ₹1,182,206.78 | -₹78,896.03 | 294 | 20.49% | `{'retry': 567, 'payment_link': 429, 'discount': 265, 'wait': 174}` |"
unsourced,265,135,"| **0.50** | Shrunk 50% | **₹1,103,310.75** | ₹1,182,206.78 | -₹78,896.03 | 294 | 20.49% | `{'retry': 567, 'payment_link': 429, 'discount': 265, 'wait': 174}` |"
unsourced,25,136,"| **0.75** | Shrunk 25% | **₹1,196,671.25** | ₹1,183,920.74 | +₹12,750.51 | 319 | 22.23% | `{'discount': 480, 'retry': 385, 'payment_link': 380, 'wait': 174, 'reminder': 16}` |"
unsourced,480,136,"| **0.75** | Shrunk 25% | **₹1,196,671.25** | ₹1,183,920.74 | +₹12,750.51 | 319 | 22.23% | `{'discount': 480, 'retry': 385, 'payment_link': 380, 'wait': 174, 'reminder': 16}` |"
unsourced,385,136,"| **0.75** | Shrunk 25% | **₹1,196,671.25** | ₹1,183,920.74 | +₹12,750.51 | 319 | 22.23% | `{'discount': 480, 'retry': 385, 'payment_link': 380, 'wait': 174, 'reminder': 16}` |"
unsourced,380,136,"| **0.75** | Shrunk 25% | **₹1,196,671.25** | ₹1,183,920.74 | +₹12,750.51 | 319 | 22.23% | `{'discount': 480, 'retry': 385, 'payment_link': 380, 'wait': 174, 'reminder': 16}` |"
unsourced,16,136,"| **0.75** | Shrunk 25% | **₹1,196,671.25** | ₹1,183,920.74 | +₹12,750.51 | 319 | 22.23% | `{'discount': 480, 'retry': 385, 'payment_link': 380, 'wait': 174, 'reminder': 16}` |"
unsourced,100.0,139,*Harness Assertion (P3-1):* $\lambda = 1.0$ matches Live Class H M4 validation baseline within ₹0.00 and achieves **100.0% decision agreement**.
unsourced,3.92,155,"| **Total B0 `close` Recoveries** | **8 (3.92%)** | **₹596,379.05** | Sum of CLOSE_ONLY + BOTH |"
unsourced,2.94,156,"| **Total Policy A `wait` Recoveries** | **6 (2.94%)** | **₹348,969.49** | Sum of WAIT_ONLY + BOTH |"
unsourced,133.2,163,"- **Sum of Top 3 Close-Only Outliers:** **₹329,675.72** (**133.2%** of the -₹247,410 gap; **166.5%** of the -₹198,017 test deficit)."
unsourced,"247,410",163,"- **Sum of Top 3 Close-Only Outliers:** **₹329,675.72** (**133.2%** of the -₹247,410 gap; **166.5%** of the -₹198,017 test deficit)."
unsourced,"198,017",163,"- **Sum of Top 3 Close-Only Outliers:** **₹329,675.72** (**133.2%** of the -₹247,410 gap; **166.5%** of the -₹198,017 test deficit)."
unsourced,"247,410.00",171,"| **Passive tail outcome sampling variance (`wait` vs `close` on 204 txns)** | -₹247,410.00 | 124.9% | Section A4 / `a4_partition_summary.json` | Test | OP-F |"
unsourced,124.9,171,"| **Passive tail outcome sampling variance (`wait` vs `close` on 204 txns)** | -₹247,410.00 | 124.9% | Section A4 / `a4_partition_summary.json` | Test | OP-F |"
unsourced,"150,157.08",172,"| **Active intervention value gains (`discount` / `payment_link`)** | +₹150,157.08 | -75.8% | Frozen M5 D4 substitution matrix | Test | OP-F |"
unsourced,75.8,172,"| **Active intervention value gains (`discount` / `payment_link`)** | +₹150,157.08 | -75.8% | Frozen M5 D4 substitution matrix | Test | OP-F |"
unsourced,"100,764.00",173,"| **UNEXPLAINED RESIDUAL (Cross-split sampling variance)** | **-₹100,764.00** | **50.9%** | Arithmetic difference: `Total - Sum(Components)` | Test | OP-F |"
unsourced,50.9,173,"| **UNEXPLAINED RESIDUAL (Cross-split sampling variance)** | **-₹100,764.00** | **50.9%** | Arithmetic difference: `Total - Sum(Components)` | Test | OP-F |"
unsourced,100.0,174,"| **Total Test Split Deficit** | **-₹198,016.92** | **100.0%** | Frozen M5 Result Block | Test | OP-F |"
unsourced,0.3404,185,"| `retry` | 567 | 0.3329 | 0.3404 | +0.0075 | 0.0188 | [-0.0294, +0.0444] | NO |"
unsourced,0.0075,185,"| `retry` | 567 | 0.3329 | 0.3404 | +0.0075 | 0.0188 | [-0.0294, +0.0444] | NO |"
unsourced,0.0188,185,"| `retry` | 567 | 0.3329 | 0.3404 | +0.0075 | 0.0188 | [-0.0294, +0.0444] | NO |"
unsourced,0.0294,185,"| `retry` | 567 | 0.3329 | 0.3404 | +0.0075 | 0.0188 | [-0.0294, +0.0444] | NO |"
unsourced,0.0444,185,"| `retry` | 567 | 0.3329 | 0.3404 | +0.0075 | 0.0188 | [-0.0294, +0.0444] | NO |"
unsourced,0.2133,186,"| `payment_link` | 1,261 | 0.2173 | 0.2133 | -0.0040 | 0.0109 | [-0.0255, +0.0174] | NO |"
unsourced,0.0040,186,"| `payment_link` | 1,261 | 0.2173 | 0.2133 | -0.0040 | 0.0109 | [-0.0255, +0.0174] | NO |"
unsourced,0.0109,186,"| `payment_link` | 1,261 | 0.2173 | 0.2133 | -0.0040 | 0.0109 | [-0.0255, +0.0174] | NO |"
unsourced,0.0255,186,"| `payment_link` | 1,261 | 0.2173 | 0.2133 | -0.0040 | 0.0109 | [-0.0255, +0.0174] | NO |"
unsourced,0.0174,186,"| `payment_link` | 1,261 | 0.2173 | 0.2133 | -0.0040 | 0.0109 | [-0.0255, +0.0174] | NO |"
unsourced,0.1594,187,"| `reminder` | 1,261 | 0.1794 | 0.1594 | -0.0200 | 0.0099 | [-0.0393, -0.0007] | **YES** |"
unsourced,0.0200,187,"| `reminder` | 1,261 | 0.1794 | 0.1594 | -0.0200 | 0.0099 | [-0.0393, -0.0007] | **YES** |"
unsourced,0.0099,187,"| `reminder` | 1,261 | 0.1794 | 0.1594 | -0.0200 | 0.0099 | [-0.0393, -0.0007] | **YES** |"
unsourced,0.0393,187,"| `reminder` | 1,261 | 0.1794 | 0.1594 | -0.0200 | 0.0099 | [-0.0393, -0.0007] | **YES** |"
unsourced,0.0007,187,"| `reminder` | 1,261 | 0.1794 | 0.1594 | -0.0200 | 0.0099 | [-0.0393, -0.0007] | **YES** |"
unsourced,0.2211,188,"| `discount` | 918 | 0.2197 | 0.2211 | +0.0014 | 0.0130 | [-0.0240, +0.0268] | NO |"
unsourced,0.0014,188,"| `discount` | 918 | 0.2197 | 0.2211 | +0.0014 | 0.0130 | [-0.0240, +0.0268] | NO |"
unsourced,0.0130,188,"| `discount` | 918 | 0.2197 | 0.2211 | +0.0014 | 0.0130 | [-0.0240, +0.0268] | NO |"
unsourced,0.0240,188,"| `discount` | 918 | 0.2197 | 0.2211 | +0.0014 | 0.0130 | [-0.0240, +0.0268] | NO |"
unsourced,0.0268,188,"| `discount` | 918 | 0.2197 | 0.2211 | +0.0014 | 0.0130 | [-0.0240, +0.0268] | NO |"
unsourced,0.1352,189,"| `wait` | 1,435 | 0.1381 | 0.1352 | -0.0029 | 0.0085 | [-0.0195, +0.0137] | NO |"
unsourced,0.0029,189,"| `wait` | 1,435 | 0.1381 | 0.1352 | -0.0029 | 0.0085 | [-0.0195, +0.0137] | NO |"
unsourced,0.0085,189,"| `wait` | 1,435 | 0.1381 | 0.1352 | -0.0029 | 0.0085 | [-0.0195, +0.0137] | NO |"
unsourced,0.0195,189,"| `wait` | 1,435 | 0.1381 | 0.1352 | -0.0029 | 0.0085 | [-0.0195, +0.0137] | NO |"
unsourced,0.0137,189,"| `wait` | 1,435 | 0.1381 | 0.1352 | -0.0029 | 0.0085 | [-0.0195, +0.0137] | NO |"
unsourced,0.1101,190,"| `close` | 1,435 | 0.1029 | 0.1101 | +0.0073 | 0.0078 | [-0.0080, +0.0225] | NO |"
unsourced,0.0073,190,"| `close` | 1,435 | 0.1029 | 0.1101 | +0.0073 | 0.0078 | [-0.0080, +0.0225] | NO |"
unsourced,0.0078,190,"| `close` | 1,435 | 0.1029 | 0.1101 | +0.0073 | 0.0078 | [-0.0080, +0.0225] | NO |"
unsourced,0.0080,190,"| `close` | 1,435 | 0.1029 | 0.1101 | +0.0073 | 0.0078 | [-0.0080, +0.0225] | NO |"
unsourced,0.0225,190,"| `close` | 1,435 | 0.1029 | 0.1101 | +0.0073 | 0.0078 | [-0.0080, +0.0225] | NO |"
unsourced,97,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,677,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,132,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,0.2391,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,0.1970,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,0.0422,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,0.0320,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,0.1049,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,0.0206,195,"| 0 | ₹97 – ₹677 | 132 | 0.2391 | 0.1970 | -0.0422 | 0.0320 | [-0.1049, +0.0206] | NO |"
unsourced,679,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,975,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,135,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,0.2006,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,0.2296,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,0.0290,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,0.0341,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,0.0377,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,0.0957,196,"| 1 | ₹679 – ₹975 | 135 | 0.2006 | 0.2296 | +0.0290 | 0.0341 | [-0.0377, +0.0957] | NO |"
unsourced,975,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,"1,278",197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,128,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,0.2145,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,0.1641,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,0.0504,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,0.0321,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,0.1134,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,0.0125,197,"| 2 | ₹975 – ₹1,278 | 128 | 0.2145 | 0.1641 | -0.0504 | 0.0321 | [-0.1134, +0.0125] | NO |"
unsourced,"1,283",198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,"1,574",198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,132,198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,0.1894,198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,0.1818,198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,0.0075,198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,0.0314,198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,0.0692,198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,0.0541,198,"| 3 | ₹1,283 – ₹1,574 | 132 | 0.1894 | 0.1818 | -0.0075 | 0.0314 | [-0.0692, +0.0541] | NO |"
unsourced,"1,576",199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,"1,942",199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,130,199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,0.1772,199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,0.1231,199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,0.0541,199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,0.0291,199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,0.1112,199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,0.0030,199,"| 4 | ₹1,576 – ₹1,942 | 130 | 0.1772 | 0.1231 | -0.0541 | 0.0291 | [-0.1112, +0.0030] | NO |"
unsourced,"1,945",200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,"2,495",200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,125,200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,0.1707,200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,0.1520,200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,0.0187,200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,0.0311,200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,0.0796,200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,0.0422,200,"| 5 | ₹1,945 – ₹2,495 | 125 | 0.1707 | 0.1520 | -0.0187 | 0.0311 | [-0.0796, +0.0422] | NO |"
unsourced,"2,497",201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,"3,080",201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,127,201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,0.1632,201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,0.1811,201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,0.0179,201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,0.0335,201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,0.0477,201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,0.0835,201,"| 6 | ₹2,497 – ₹3,080 | 127 | 0.1632 | 0.1811 | +0.0179 | 0.0335 | [-0.0477, +0.0835] | NO |"
unsourced,"3,115",202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,"4,491",202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,133,202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,0.1517,202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,0.1128,202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,0.0389,202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,0.0269,202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,0.0916,202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,0.0138,202,"| 7 | ₹3,115 – ₹4,491 | 133 | 0.1517 | 0.1128 | -0.0389 | 0.0269 | [-0.0916, +0.0138] | NO |"
unsourced,"4,536",203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,"10,786",203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,131,203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,0.1443,203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,0.1298,203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,0.0146,203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,0.0281,203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
unsourced,0.0697,203,"| 8 | ₹4,536 – ₹10,786 | 131 | 0.1443 | 0.1298 | -0.0146 | 0.0281 | [-0.0697, +0.0406] | NO |"
