key,value,fmt,source_file,source_field,split,data_op
a0_selected_discount,555.0,"{:,d}",a0_feature_audit.json,actual_selections.discount,val,OP-V
a0_selected_wait,174.0,"{:,d}",a0_feature_audit.json,actual_selections.wait,val,OP-V
a0_selected_close,0.0,"{:,d}",a0_feature_audit.json,actual_selections.close,val,OP-V
a0_wait_gt_close,1348.0,"{:,d}",a0_pair_orderings.csv,wait_vs_close.a_gt_b_count,val,OP-V
a0_close_gt_wait,87.0,"{:,d}",a0_pair_orderings.csv,wait_vs_close.b_gt_a_count,val,OP-V
a0_wc_tie,0.0,{:d},a0_pair_orderings.csv,wait_vs_close.tie_count,val,OP-V
a0_wait_gt_close_pct,93.93728222996516,{:.1f},a0_pair_orderings.csv,wait_vs_close.a_gt_b_count/n_val,val,OP-V
a0_close_gt_wait_pct,6.062717770034843,{:.1f},a0_pair_orderings.csv,wait_vs_close.b_gt_a_count/n_val,val,OP-V
a0_wc_min_diff,0.0004364270528224,{:.4f},a0_pair_orderings.csv,wait_vs_close.min_abs_diff,val,OP-V
a0_wc_med_diff,0.0356073864832097,{:.4f},a0_pair_orderings.csv,wait_vs_close.median_abs_diff,val,OP-V
a0_wc_max_diff,0.1440929030725449,{:.4f},a0_pair_orderings.csv,wait_vs_close.max_abs_diff,val,OP-V
a0_retry_gt_disc,550.0,"{:,d}",a0_pair_orderings.csv,retry_vs_discount.a_gt_b_count,val,OP-V
a0_disc_gt_retry,885.0,"{:,d}",a0_pair_orderings.csv,retry_vs_discount.b_gt_a_count,val,OP-V
a0_retry_gt_disc_pct,38.32752613240418,{:.1f},a0_pair_orderings.csv,retry_vs_discount.a_gt_b_count/n_val,val,OP-V
a0_disc_gt_retry_pct,61.672473867595826,{:.1f},a0_pair_orderings.csv,retry_vs_discount.b_gt_a_count/n_val,val,OP-V
a0_pl_gt_rem,1365.0,"{:,d}",a0_pair_orderings.csv,payment_link_vs_reminder.a_gt_b_count,val,OP-V
a0_rem_gt_pl,70.0,"{:,d}",a0_pair_orderings.csv,payment_link_vs_reminder.b_gt_a_count,val,OP-V
a0_pl_gt_rem_pct,95.1219512195122,{:.1f},a0_pair_orderings.csv,payment_link_vs_reminder.a_gt_b_count/n_val,val,OP-V
a0_rem_gt_pl_pct,4.878048780487805,{:.1f},a0_pair_orderings.csv,payment_link_vs_reminder.b_gt_a_count/n_val,val,OP-V
a1_val_n,1435.0,"{:,d}",a1_close_wait.json,n_validation,val,OP-V
a1_close_gt_wait,87.0,{:d},a1_close_wait.json,p_close_gt_wait_count,val,OP-V
a1_wait_gt_close,1348.0,{:d},a1_close_wait.json,p_wait_gt_close_count,val,OP-V
a1_equal_count,0.0,{:d},a1_close_wait.json,p_equal_count,val,OP-V
a1_close_gt_wait_pct,6.062717770034843,{:.2f},a1_close_wait.json,p_close_gt_wait_count/n_val,val,OP-V
a1_wait_gt_close_pct,93.93728222996516,{:.2f},a1_close_wait.json,p_wait_gt_close_count/n_val,val,OP-V
a1_equal_pct,0.0,{:.2f},a1_close_wait.json,p_equal_count/n_val,val,OP-V
a1_flips_count,0.0,{:d},a1_close_wait.json,flips_count,val,OP-V
a1_standard_net,1235565.7349999999,"{:,.2f}",a1_close_wait.json,standard_net,val,OP-V
a1_corrected_net,1235565.7349999999,"{:,.2f}",a1_close_wait.json,corrected_net,val,OP-V
a1_delta_net,0.0,{:.2f},a1_close_wait.json,abs(delta_net),val,OP-V
a2_pa_val_n,1435.0,"{:,d}",a2_policy_rows.csv,policy_a.val.n_transactions,val,OP-V
a2_pa_val_rec_count,326.0,{:d},a2_policy_rows.csv,policy_a.val.recovered_count,val,OP-V
a2_pa_val_rec_rate,22.717770034843205,{:.2f},a2_policy_rows.csv,policy_a.val.recovery_rate,val,OP-V
a2_pa_val_gross,1238245.735,"{:,.2f}",a2_policy_rows.csv,policy_a.val.gross_amount,val,OP-V
a2_pa_val_cost,2680.0,"{:,.2f}",a2_policy_rows.csv,policy_a.val.intervention_cost,val,OP-V
a2_pa_val_discount,38468.385,"{:,.2f}",a2_policy_rows.csv,policy_a.val.discount_haircut,val,OP-V
a2_pa_val_net,1235565.735,"{:,.2f}",a2_policy_rows.csv,policy_a.val.net_amount,val,OP-V
a2_pa_val_net_per_txn,861.0214181184668,{:.2f},a2_policy_rows.csv,policy_a.val.net_per_txn,val,OP-V
a2_b0_val_n,1435.0,"{:,d}",a2_policy_rows.csv,b0_waterfall.val.n_transactions,val,OP-V
a2_b0_val_rec_count,272.0,{:d},a2_policy_rows.csv,b0_waterfall.val.recovered_count,val,OP-V
a2_b0_val_rec_rate,18.95470383275261,{:.2f},a2_policy_rows.csv,b0_waterfall.val.recovery_rate,val,OP-V
a2_b0_val_gross,992650.95,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.val.gross_amount,val,OP-V
a2_b0_val_cost,3216.0,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.val.intervention_cost,val,OP-V
a2_b0_val_discount,0.0,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.val.discount_haircut,val,OP-V
a2_b0_val_net,989434.95,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.val.net_amount,val,OP-V
a2_b0_val_net_per_txn,689.5017073170732,{:.2f},a2_policy_rows.csv,b0_waterfall.val.net_per_txn,val,OP-V
a2_pa_test_n,1577.0,"{:,d}",a2_policy_rows.csv,policy_a.test.n_transactions,test,OP-F
a2_pa_test_rec_count,361.0,{:d},a2_policy_rows.csv,policy_a.test.recovered_count,test,OP-F
a2_pa_test_rec_rate,22.89156626506024,{:.2f},a2_policy_rows.csv,policy_a.test.recovery_rate,test,OP-F
a2_pa_test_gross,1302749.4470000002,"{:,.2f}",a2_policy_rows.csv,policy_a.test.gross_amount,test,OP-F
a2_pa_test_cost,2797.0,"{:,.2f}",a2_policy_rows.csv,policy_a.test.intervention_cost,test,OP-F
a2_pa_test_discount,40673.293000000005,"{:,.2f}",a2_policy_rows.csv,policy_a.test.discount_haircut,test,OP-F
a2_pa_test_net,1299952.4470000002,"{:,.2f}",a2_policy_rows.csv,policy_a.test.net_amount,test,OP-F
a2_pa_test_net_per_txn,824.3198776157261,{:.2f},a2_policy_rows.csv,policy_a.test.net_per_txn,test,OP-F
a2_b0_test_n,1577.0,"{:,d}",a2_policy_rows.csv,b0_waterfall.test.n_transactions,test,OP-F
a2_b0_test_rec_count,312.0,{:d},a2_policy_rows.csv,b0_waterfall.test.recovered_count,test,OP-F
a2_b0_test_rec_rate,19.78440076093849,{:.2f},a2_policy_rows.csv,b0_waterfall.test.recovery_rate,test,OP-F
a2_b0_test_gross,1501443.37,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.test.gross_amount,test,OP-F
a2_b0_test_cost,3474.0,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.test.intervention_cost,test,OP-F
a2_b0_test_discount,0.0,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.test.discount_haircut,test,OP-F
a2_b0_test_net,1497969.37,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.test.net_amount,test,OP-F
a2_b0_test_net_per_txn,949.8854597336716,{:.2f},a2_policy_rows.csv,b0_waterfall.test.net_per_txn,test,OP-F
a2_b1_test_n,1577.0,"{:,d}",a2_policy_rows.csv,b1_random.test.n_transactions,test,OP-F
a2_b1_test_rec_count,266.0,{:d},a2_policy_rows.csv,b1_random.test.recovered_count,test,OP-F
a2_b1_test_rec_rate,16.867469879518072,{:.2f},a2_policy_rows.csv,b1_random.test.recovery_rate,test,OP-F
a2_b1_test_gross,1363512.352,"{:,.2f}",a2_policy_rows.csv,b1_random.test.gross_amount,test,OP-F
a2_b1_test_cost,2427.0,"{:,.2f}",a2_policy_rows.csv,b1_random.test.intervention_cost,test,OP-F
a2_b1_test_discount,11300.308,"{:,.2f}",a2_policy_rows.csv,b1_random.test.discount_haircut,test,OP-F
a2_b1_test_net,1361085.352,"{:,.2f}",a2_policy_rows.csv,b1_random.test.net_amount,test,OP-F
a2_b1_test_net_per_txn,863.0851946734306,{:.2f},a2_policy_rows.csv,b1_random.test.net_per_txn,test,OP-F
a2_b6_test_n,1577.0,"{:,d}",a2_policy_rows.csv,b6_oracle.test.n_transactions,test,OP-F
a2_b6_test_rec_count,818.0,{:d},a2_policy_rows.csv,b6_oracle.test.recovered_count,test,OP-F
a2_b6_test_rec_rate,51.8706404565631,{:.2f},a2_policy_rows.csv,b6_oracle.test.recovery_rate,test,OP-F
a2_b6_test_gross,3360246.125,"{:,.2f}",a2_policy_rows.csv,b6_oracle.test.gross_amount,test,OP-F
a2_b6_test_cost,1235.0,"{:,.2f}",a2_policy_rows.csv,b6_oracle.test.intervention_cost,test,OP-F
a2_b6_test_discount,37399.625,"{:,.2f}",a2_policy_rows.csv,b6_oracle.test.discount_haircut,test,OP-F
a2_b6_test_net,3359011.125,"{:,.2f}",a2_policy_rows.csv,b6_oracle.test.net_amount,test,OP-F
a2_b6_test_net_per_txn,2130.000713379835,{:.2f},a2_policy_rows.csv,b6_oracle.test.net_per_txn,test,OP-F
a3_pbar_retry,0.3329081813050272,{:.4f},a3_pbar.csv,retry.pbar_allowed,val,OP-V
a3_n_retry,567.0,"{:,d}",a3_pbar.csv,retry.n_allowed,val,OP-V
a3_pbar_payment_link,0.217346731709014,{:.4f},a3_pbar.csv,payment_link.pbar_allowed,val,OP-V
a3_n_payment_link,1261.0,"{:,d}",a3_pbar.csv,payment_link.n_allowed,val,OP-V
a3_pbar_reminder,0.1793919680629445,{:.4f},a3_pbar.csv,reminder.pbar_allowed,val,OP-V
a3_n_reminder,1261.0,"{:,d}",a3_pbar.csv,reminder.n_allowed,val,OP-V
a3_pbar_discount,0.2197123462482781,{:.4f},a3_pbar.csv,discount.pbar_allowed,val,OP-V
a3_n_discount,918.0,"{:,d}",a3_pbar.csv,discount.n_allowed,val,OP-V
a3_pbar_wait,0.138078704500944,{:.4f},a3_pbar.csv,wait.pbar_allowed,val,OP-V
a3_n_wait,1435.0,"{:,d}",a3_pbar.csv,wait.n_allowed,val,OP-V
a3_pbar_close,0.1028533839105768,{:.4f},a3_pbar.csv,close.pbar_allowed,val,OP-V
a3_n_close,1435.0,"{:,d}",a3_pbar.csv,close.n_allowed,val,OP-V
a3_lam0_net,1078896.67,"{:,.2f}",a3_lambda_sweep.csv,lam0.net_recovered_amount,val,OP-V
a3_lam0_prior,1058557.21,"{:,.2f}",a3_lambda_sweep.csv,lam0.prior_class_r_net,val,OP-V
a3_lam0_delta,20339.459999999963,"{:+,.2f}",a3_lambda_sweep.csv,lam0.delta_from_prior,val,OP-V
a3_lam0_count,288.0,{:d},a3_lambda_sweep.csv,lam0.recovered_count,val,OP-V
a3_lam0_rate,20.069686411149824,{:.2f},a3_lambda_sweep.csv,lam0.recovery_rate,val,OP-V
a3_lam25_net,1090067.849,"{:,.2f}",a3_lambda_sweep.csv,lam25.net_recovered_amount,val,OP-V
a3_lam25_prior,1139204.48,"{:,.2f}",a3_lambda_sweep.csv,lam25.prior_class_r_net,val,OP-V
a3_lam25_delta,-49136.63100000005,"{:+,.2f}",a3_lambda_sweep.csv,lam25.delta_from_prior,val,OP-V
a3_lam25_count,290.0,{:d},a3_lambda_sweep.csv,lam25.recovered_count,val,OP-V
a3_lam25_rate,20.20905923344948,{:.2f},a3_lambda_sweep.csv,lam25.recovery_rate,val,OP-V
a3_lam50_net,1103310.75,"{:,.2f}",a3_lambda_sweep.csv,lam50.net_recovered_amount,val,OP-V
a3_lam50_prior,1182206.78,"{:,.2f}",a3_lambda_sweep.csv,lam50.prior_class_r_net,val,OP-V
a3_lam50_delta,-78896.03000000003,"{:+,.2f}",a3_lambda_sweep.csv,lam50.delta_from_prior,val,OP-V
a3_lam50_count,294.0,{:d},a3_lambda_sweep.csv,lam50.recovered_count,val,OP-V
a3_lam50_rate,20.48780487804878,{:.2f},a3_lambda_sweep.csv,lam50.recovery_rate,val,OP-V
a3_lam75_net,1196671.246,"{:,.2f}",a3_lambda_sweep.csv,lam75.net_recovered_amount,val,OP-V
a3_lam75_prior,1183920.74,"{:,.2f}",a3_lambda_sweep.csv,lam75.prior_class_r_net,val,OP-V
a3_lam75_delta,12750.506000000052,"{:+,.2f}",a3_lambda_sweep.csv,lam75.delta_from_prior,val,OP-V
a3_lam75_count,319.0,{:d},a3_lambda_sweep.csv,lam75.recovered_count,val,OP-V
a3_lam75_rate,22.229965156794425,{:.2f},a3_lambda_sweep.csv,lam75.recovery_rate,val,OP-V
a3_lam100_net,1235565.735,"{:,.2f}",a3_lambda_sweep.csv,lam100.net_recovered_amount,val,OP-V
a3_lam100_prior,1235565.73,"{:,.2f}",a3_lambda_sweep.csv,lam100.prior_class_r_net,val,OP-V
a3_lam100_delta,0.0049999998882412,"{:+,.2f}",a3_lambda_sweep.csv,lam100.delta_from_prior,val,OP-V
a3_lam100_count,326.0,{:d},a3_lambda_sweep.csv,lam100.recovered_count,val,OP-V
a3_lam100_rate,22.717770034843205,{:.2f},a3_lambda_sweep.csv,lam100.recovery_rate,val,OP-V
a3_live_baseline_net,1235565.7349999999,"{:,.2f}",a3_harness_baseline.json,live_class_h_validation_net,val,OP-V
a3_shrinkage_gain_abs,156669.06500000018,"{:,.2f}",a3_lambda_sweep.csv,lam1.net - lam0.net,val,OP-V
a3_shrinkage_gain_pct,14.521229822685447,{:.1f},a3_lambda_sweep.csv,(lam1.net-lam0.net)/lam0.net*100,val,OP-V
a4_derived_count,204.0,{:d},a4_partition_summary.json,derived_count,test,OP-F
a4_derived_net_diff,247409.56,"{:,.2f}",a4_partition_summary.json,abs(derived_net_diff),test,OP-F
a4_close_only_n,7.0,{:d},a4_partition_summary.json,close_only_n,test,OP-F
a4_close_only_total,529259.1000000001,"{:,.2f}",a4_partition_summary.json,close_only_total,test,OP-F
a4_wait_only_n,5.0,{:d},a4_partition_summary.json,wait_only_n,test,OP-F
a4_wait_only_total,281849.54,"{:,.2f}",a4_partition_summary.json,wait_only_total,test,OP-F
a4_both_n,1.0,{:d},a4_partition_summary.json,both_n,test,OP-F
a4_both_total,67119.95,"{:,.2f}",a4_partition_summary.json,both_total,test,OP-F
a4_neither_n,191.0,{:d},a4_partition_summary.json,neither_n,test,OP-F
a4_neither_total,6044992.33,"{:,.2f}",a4_partition_summary.json,neither_total,test,OP-F
a4_close_rec_n,8.0,{:d},a4_partition_summary.json,close_recovered_n,test,OP-F
a4_close_rec_total,596379.05,"{:,.2f}",a4_partition_summary.json,close_recovered_total,test,OP-F
a4_wait_rec_n,6.0,{:d},a4_partition_summary.json,wait_recovered_n,test,OP-F
a4_wait_rec_total,348969.49,"{:,.2f}",a4_partition_summary.json,wait_recovered_total,test,OP-F
a4_top3_close_sum,329675.72000000003,"{:,.2f}",a4_partition_summary.json,top3_close_only_sum,test,OP-F
a4_top3_pct_of_waitclose_subset_gap,133.25100291193277,{:.1f},a4_partition_summary.json,top3_close_only_sum/abs(derived_net_diff)*100,test,OP-F
a4_close_rec_rate,3.9215686274509802,{:.1f},a4_partition_summary.json,close_rec_n/derived_count*100,test,OP-F
a4_wait_rec_rate,2.941176470588235,{:.1f},a4_partition_summary.json,wait_rec_n/derived_count*100,test,OP-F
a4_top3_txn1_id,1998.0,{:d},a4_partition_rows.csv,top3_close_only[0].transaction_id,test,OP-F
a4_top3_txn1_amt,139904.76,"{:,.2f}",a4_partition_rows.csv,top3_close_only[0].amount,test,OP-F
a4_top3_txn2_id,7703.0,{:d},a4_partition_rows.csv,top3_close_only[1].transaction_id,test,OP-F
a4_top3_txn2_amt,114085.35,"{:,.2f}",a4_partition_rows.csv,top3_close_only[1].amount,test,OP-F
a4_top3_txn3_id,196.0,{:d},a4_partition_rows.csv,top3_close_only[2].transaction_id,test,OP-F
a4_top3_txn3_amt,75685.61,"{:,.2f}",a4_partition_rows.csv,top3_close_only[2].amount,test,OP-F
a4_both_txn_id,4518.0,{:d},a4_partition_summary.json,both_transaction_ids[0],test,OP-F
a5_total_gap,198016.92300000004,"{:,.2f}",a5_substitution_matrix.csv,abs(sum(delta)),test,OP-F
a5_total_gap_raw,-198016.92300000004,"{:,.2f}",a5_substitution_matrix.csv,sum(delta),test,OP-F
a5_n_cells,6.0,{:d},a5_substitution_matrix.csv,nrows,test,OP-F
a5_divergent_n,1280.0,"{:,d}",a5_substitution_matrix.csv,sum(count),test,OP-F
a4_top3_pct_of_total_test_gap,166.48865915364212,{:.1f},a4_partition_summary.json + a5_substitution_matrix.csv,top3_close_only_sum/abs(sum(delta))*100,test,OP-F
a5_wc_delta,-247409.56,"{:,.2f}",a5_substitution_matrix.csv,wait->close.delta,test,OP-F
a5_wc_pa_net,348969.49000000005,"{:,.2f}",a5_substitution_matrix.csv,wait->close.pa_net,test,OP-F
a5_wc_b0_net,596379.05,"{:,.2f}",a5_substitution_matrix.csv,wait->close.b0_net,test,OP-F
a5_wc_count,204.0,{:d},a5_substitution_matrix.csv,wait->close.count,test,OP-F
a8_val_n,1435.0,"{:,d}",a8_carry_forward.json,val_n,val,OP-V
a8_test_n,1577.0,"{:,d}",a8_carry_forward.json,test_n,test,OP-F
a8_pa_net_per_txn_val,861.021418118467,{:.2f},a8_carry_forward.json,pa_net_per_txn_val,val,OP-V
a8_pa_net_per_txn_test,824.3198776157261,{:.2f},a8_carry_forward.json,pa_net_per_txn_test,test,OP-F
a8_pa_pct_change,-4.2625583673565615,{:+.1f},a8_carry_forward.json,pa_pct_change,,
a8_b0_net_per_txn_val,689.5017073170732,{:.2f},a8_carry_forward.json,b0_net_per_txn_val,val,OP-V
a8_b0_net_per_txn_test,949.8854597336716,{:.2f},a8_carry_forward.json,b0_net_per_txn_test,test,OP-F
a8_b0_pct_change,37.76404752205476,{:+.1f},a8_carry_forward.json,b0_pct_change,,
a8_gap_val,246130.78500000015,"{:,.2f}",a8_carry_forward.json,gap_val,val,OP-V
a8_gap_test,198016.92299999995,"{:,.2f}",a8_carry_forward.json,gap_test,test,OP-F
a8_gap_swing,444147.7080000001,"{:,.2f}",a8_carry_forward.json,gap_swing,,
a8_bs_ci_low,-776313.86,"{:,.2f}",a8_carry_forward.json,bs_ci_low,test,OP-F
a8_bs_ci_high,332562.45,"{:,.2f}",a8_carry_forward.json,bs_ci_high,test,OP-F
a8_bs_ci_width,1108876.31,"{:,.2f}",a8_carry_forward.json,bs_ci_width,test,OP-F
a8_oracle_net_val,2780330.5999999996,"{:,.2f}",a8_carry_forward.json,oracle_net_val,val,OP-V
a8_oracle_per_txn_val,1937.5126132404177,{:.2f},a8_carry_forward.json,oracle_per_txn_val,val,OP-V
a8_oracle_net_test,3359011.125,"{:,.2f}",a8_carry_forward.json,oracle_net_test,test,OP-F
a8_oracle_net_per_txn_test,2130.000713379835,{:.2f},a8_carry_forward.json,oracle_net_per_txn_test,test,OP-F
a8_val_max_amt,279558.65,"{:,.2f}",a8_carry_forward.json,val_max_amt,val,OP-V
a8_test_max_amt,244011.3,"{:,.2f}",a8_carry_forward.json,test_max_amt,test,OP-F
a8_val_top1_share,19.47005767127515,{:.1f},a8_carry_forward.json,val_top1_share,val,OP-V
a8_test_top1_share,18.563547966483736,{:.1f},a8_carry_forward.json,test_top1_share,test,OP-F
a2_pa_val_net_full,1235565.735,"{:,.2f}",a2_policy_rows.csv,policy_a.val.net_amount,val,OP-V
a2_b0_val_net_full,989434.95,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.val.net_amount,val,OP-V
a2_pa_test_net_full,1299952.4470000002,"{:,.2f}",a2_policy_rows.csv,policy_a.test.net_amount,test,OP-F
a2_b0_test_net_full,1497969.37,"{:,.2f}",a2_policy_rows.csv,b0_waterfall.test.net_amount,test,OP-F
a2_b6_test_net_full,3359011.125,"{:,.2f}",a2_policy_rows.csv,b6_oracle.test.net_amount,test,OP-F
